fs: ee | arun: off | iffpi: 0 | ord: born | phidec: 000 | xsec: 6855.73694170 0.00003003
fs: ee | arun: nsk | iffpi: 0 | ord: born | phidec: 000 | xsec: 6977.13191863 1.06521342
fs: ee | arun: off | iffpi: 0 | ord: alpha | phidec: 000 | xsec: 6085.50058287 283.35487641
fs: ee | arun: nsk | iffpi: 0 | ord: alpha | phidec: 000 | xsec: 6440.45379005 283.89055887
fs: ee | arun: off | iffpi: 0 | ord: exp | phidec: 000 | xsec: 6156.53385134 164.90667432
fs: ee | arun: nsk | iffpi: 0 | ord: exp | phidec: 000 | xsec: 6240.55655268 171.51999745
fs: mm | arun: off | iffpi: 0 | ord: born | phidec: 000 | xsec: 76.29495905 0.03141871
fs: mm | arun: nsk | iffpi: 0 | ord: born | phidec: 000 | xsec: 85.06987861 0.03503227
fs: mm | arun: off | iffpi: 0 | ord: alpha | phidec: 000 | xsec: 68.69590444 1.97109203
fs: mm | arun: nsk | iffpi: 0 | ord: alpha | phidec: 000 | xsec: 74.12801883 2.10127988
fs: mm | arun: off | iffpi: 0 | ord: exp | phidec: 000 | xsec: 69.08754262 1.63541317
fs: mm | arun: nsk | iffpi: 0 | ord: exp | phidec: 000 | xsec: 74.87230828 1.72337231
fs: gg | arun: off | iffpi: 0 | ord: born | phidec: 000 | xsec: 316.50949946 2.07204182
fs: gg | arun: nsk | iffpi: 0 | ord: born | phidec: 000 | xsec: 316.50949946 2.07204182
fs: gg | arun: off | iffpi: 0 | ord: alpha | phidec: 000 | xsec: 316.29744846 17.08378895
fs: gg | arun: nsk | iffpi: 0 | ord: alpha | phidec: 000 | xsec: 316.29744846 17.08378895
fs: gg | arun: off | iffpi: 0 | ord: exp | phidec: 000 | xsec: 291.63500890 15.22853403
fs: gg | arun: nsk | iffpi: 0 | ord: exp | phidec: 000 | xsec: 291.63500890 15.22853403
fs: pp | arun: off | iffpi: 1 | ord: born | phidec: 000 | xsec: 52.36093842 0.00000147
fs: pp | arun: off | iffpi: 2 | ord: born | phidec: 000 | xsec: 52.36093842 0.00000147
fs: pp | arun: off | iffpi: 3 | ord: born | phidec: 000 | xsec: 52.36093842 0.00000147
fs: pp | arun: off | iffpi: 1 | ord: alpha | phidec: 000 | xsec: 53.34779313 2.40998977
fs: pp | arun: off | iffpi: 2 | ord: alpha | phidec: 000 | xsec: 53.21800328 2.39744012
fs: pp | arun: off | iffpi: 3 | ord: alpha | phidec: 000 | xsec: 51.94719976 2.36217669
fs: pp | arun: off | iffpi: 1 | ord: exp | phidec: 000 | xsec: 52.72190774 2.11916336
fs: pp | arun: off | iffpi: 2 | ord: exp | phidec: 000 | xsec: 52.61404535 2.11683055
fs: pp | arun: off | iffpi: 3 | ord: exp | phidec: 000 | xsec: 55.00094977 2.62772585
fs: mr | arun: off | iffpi: 0 | ord: born | phidec: 000 | xsec: 19.99779601 1.27157026
fs: mr | arun: nsk | iffpi: 0 | ord: born | phidec: 000 | xsec: 20.83659386 1.51098335
fs: mr | arun: off | iffpi: 0 | ord: alpha | phidec: 000 | xsec: 17.45653729 1.32177483
fs: mr | arun: nsk | iffpi: 0 | ord: alpha | phidec: 000 | xsec: 18.54210778 1.39377688
fs: mr | arun: off | iffpi: 0 | ord: exp | phidec: 000 | xsec: 21.85024530 1.62036571
fs: mr | arun: nsk | iffpi: 0 | ord: exp | phidec: 000 | xsec: 23.03512428 1.67838213
fs: pr | arun: off | iffpi: 1 | ord: born | phidec: 000 | xsec: 42.64541468 2.14675697
fs: pr | arun: off | iffpi: 2 | ord: born | phidec: 000 | xsec: 42.64541468 2.14675697
fs: pr | arun: off | iffpi: 3 | ord: born | phidec: 000 | xsec: 42.64541468 2.14675697
fs: pr | arun: off | iffpi: 1 | ord: alpha | phidec: 000 | xsec: 38.48923234 3.17032896
fs: pr | arun: off | iffpi: 2 | ord: alpha | phidec: 000 | xsec: 38.53010812 3.14264641
fs: pr | arun: off | iffpi: 3 | ord: alpha | phidec: 000 | xsec: 40.20783471 3.30398544
fs: pr | arun: off | iffpi: 1 | ord: exp | phidec: 000 | xsec: 45.05921973 3.63315123
fs: pr | arun: off | iffpi: 1 | ord: exp | phidec: 100 | xsec: 45.10802455 3.63712092 
fs: pr | arun: off | iffpi: 1 | ord: exp | phidec: 030 | xsec: 45.38494207 3.63322560
fs: pr | arun: off | iffpi: 1 | ord: exp | phidec: 001 | xsec: 45.14446001 3.63682424
fs: pr | arun: off | iffpi: 1 | ord: exp | phidec: 131 | xsec: 45.46670839 3.63797359 
fs: pr | arun: off | iffpi: 2 | ord: exp | phidec: 000 | xsec: 44.95828404 3.64974814
fs: pr | arun: off | iffpi: 3 | ord: exp | phidec: 000 | xsec: 41.95527261 2.42942771
